Date,Open,High,Low,Close,Volume,Adj Close
2016-08-19,34.099998,34.529999,33.849998,34.490002,13172300,34.057919
2016-08-22,34.25,34.259998,33.59,33.650002,16416900,33.228442
2016-08-23,34.0,34.189999,33.439999,33.459999,15868500,33.04082
2016-08-24,33.189999,33.810001,33.09,33.57,21906800,33.149443
2016-08-25,33.619999,33.66,33.279999,33.349998,21721100,32.932198
2016-08-26,33.669998,34.349998,32.650002,32.98,31301900,32.566834
2016-08-29,33.0,34.009998,32.93,33.959999,18113500,33.534556
2016-08-30,33.650002,33.889999,33.41,33.779999,14202500,33.356811
2016-08-31,34.040001,34.07,33.02,33.52,25519200,33.10007
2016-09-01,33.259998,33.77,33.099998,33.630001,16071700,33.208692
2016-09-02,34.060001,34.43,33.869999,34.400002,20995100,33.969046
2016-09-06,34.259998,35.080002,34.169998,34.98,19169800,34.541778
2016-09-07,34.970001,35.080002,34.560001,34.959999,21050200,34.522028
2016-09-08,35.220001,35.41,34.73,35.099998,24423300,34.660274
2016-09-09,34.119999,34.139999,33.049999,33.080002,39570400,32.665583
2016-09-12,32.810001,33.869999,32.650002,33.740002,28115300,33.317315
2016-09-13,33.0,33.220001,31.82,32.09,33352900,31.687984
2016-09-14,31.940001,32.470001,31.82,31.969999,22954800,31.569487
2016-09-15,32.290001,33.040001,31.879999,32.919998,21479900,32.507584
2016-09-16,32.470001,32.82,32.16,32.669998,19909100,32.260716
2016-09-19,33.099998,33.400002,32.619999,32.779999,14201700,32.369339
2016-09-20,33.279999,33.360001,33.040001,33.09,10394000,32.675456
2016-09-21,33.549999,34.150002,33.07,34.029999,21142700,33.603679
2016-09-22,34.57,34.93,34.040001,34.279999,18777500,33.850547
2016-09-23,34.200001,34.419998,33.740002,33.869999,14504000,33.445684
2016-09-26,33.59,33.740002,33.330002,33.41,11715800,32.991447
2016-09-27,33.560001,33.93,33.09,33.93,15641200,33.504933
2016-09-28,33.950001,34.639999,33.580002,34.529999,18484900,34.097415
2016-09-29,34.5,34.650002,33.380001,33.580002,20968200,33.159319
2016-09-30,33.93,34.029999,33.52,33.73,21785900,33.307438
2016-10-03,33.869999,34.759998,33.720001,34.66,15099200,34.225788
2016-10-04,34.549999,34.669998,33.84,34.040001,18881700,33.613556
2016-10-05,34.619999,35.049999,34.470001,34.919998,24304800,34.482529
2016-10-06,34.709999,35.240002,34.619999,35.139999,9710500,34.699774
2016-10-07,35.57,35.669998,34.860001,35.459999,18697900,35.015765
2016-10-10,35.799999,35.939999,35.599998,35.869999,16166200,35.420628
2016-10-11,35.700001,35.779999,35.349998,35.580002,19245800,35.134264
2016-10-12,35.490002,35.759998,35.23,35.450001,7442100,35.005892
2016-10-13,35.23,35.939999,34.970001,35.830002,17414200,35.381132
2016-10-14,36.240002,36.490002,35.91,36.049999,19694500,35.598373
2016-10-17,36.099998,36.549999,35.990002,36.470001,22769900,36.013114
2016-10-18,36.98,37.48,36.689999,37.360001,23846000,36.891963
2016-10-19,37.509998,37.669998,37.169998,37.27,24760300,36.803091
2016-10-20,37.150002,37.939999,37.049999,37.779999,17945100,37.3067
2016-10-21,37.400002,37.919998,37.369999,37.77,16457500,37.296827
2016-10-24,38.43,38.5,38.029999,38.080002,15613700,37.602945
2016-10-25,37.900002,38.349998,37.59,38.189999,12725900,37.711563
2016-10-26,38.189999,38.189999,37.459999,37.84,20424600,37.36595
2016-10-27,38.220001,38.330002,37.75,37.77,19417700,37.296827
2016-10-28,37.619999,37.900002,37.040001,37.389999,22784600,36.921586
2016-10-31,37.919998,38.080002,37.630001,37.759998,16549000,37.28695
2016-11-01,37.630001,37.700001,36.029999,36.470001,32017700,36.013114
2016-11-02,36.099998,36.400002,35.41,35.830002,23411300,35.381132
2016-11-03,36.200001,36.57,35.43,35.509998,27847200,35.065137
2016-11-04,35.529999,36.110001,35.18,35.360001,20544200,34.917019
2016-11-07,36.75,37.27,36.669998,37.27,29256100,36.803091
2016-11-08,36.880001,37.880001,36.650002,37.540001,21516300,37.069709
2016-11-09,37.540001,37.540001,36.099998,36.310001,35156500,35.855118
2016-11-10,34.509998,34.860001,33.139999,33.450001,65811900,33.030947
2016-11-11,32.459999,32.889999,31.200001,32.5,59164500,32.092848
2016-11-14,31.98,32.470001,31.25,32.380001,29614200,31.974352
2016-11-15,32.849998,33.5,32.709999,33.470001,27581000,33.050697
2016-11-16,32.68,33.119999,32.48,33.07,23918800,32.655707
2016-11-17,32.869999,33.200001,32.220001,32.380001,33155700,31.974352
2016-11-18,32.869999,33.009998,32.400002,32.59,21158200,32.18172
2016-11-21,33.360001,33.84,33.360001,33.75,18549300,33.327188
2016-11-22,34.450001,34.5,33.66,34.169998,17622600,33.741925
2016-11-23,33.209999,33.860001,33.139999,33.810001,20805900,33.386438
2016-11-25,33.049999,33.310001,32.91,33.060001,13268800,32.645833
2016-11-28,33.380001,34.23,33.209999,33.91,17738100,33.485183
2016-11-29,33.5,33.650002,32.990002,33.200001,13524500,32.784079
2016-11-30,33.830002,34.110001,33.299999,33.490002,23330400,33.070447
2016-12-01,32.669998,32.709999,31.370001,31.48,40230800,31.085626
2016-12-02,31.51,32.080002,31.43,31.68,21542600,31.283121
2016-12-05,31.790001,32.189999,31.780001,32.119999,13676800,31.717607
2016-12-06,31.940001,32.98,31.9,32.68,17147000,32.270593
2016-12-07,33.029999,33.330002,32.740002,33.279999,17631500,32.863075
2016-12-08,33.02,33.189999,32.73,33.009998,17954100,32.596457
2016-12-09,32.900002,33.32,32.77,32.82,16499300,32.408838
2016-12-12,32.73,32.889999,32.310001,32.43,14327100,32.023725
2016-12-13,32.77,33.040001,32.41,32.720001,12636300,32.310093
2016-12-14,32.669998,32.810001,31.379999,31.5,28596400,31.105375
2016-12-15,31.51,32.0,31.27,31.870001,26875800,31.470741
2016-12-16,31.84,32.110001,31.440001,31.530001,22899700,31.135
2016-12-19,31.85,31.85,31.040001,31.110001,13987700,30.720262
2016-12-20,31.639999,31.639999,31.25,31.530001,17307500,31.135
2016-12-21,31.58,31.629999,31.15,31.299999,16848400,31.299999
2016-12-22,31.309999,31.65,31.110001,31.440001,14069600,31.440001
2016-12-23,32.09,32.389999,32.049999,32.27,12407000,32.27
2016-12-27,32.52,32.630001,32.34,32.529999,7046500,32.529999
2016-12-28,32.709999,33.200001,32.689999,33.040001,12419100,33.040001
2016-12-29,33.209999,33.779999,33.189999,33.66,20013100,33.66
2016-12-30,33.619999,33.740002,33.09,33.34,14589000,33.34
2017-01-03,34.049999,34.610001,34.02,34.459999,20581100,34.459999
2017-01-04,34.73,34.939999,34.599998,34.810001,13443700,34.810001
2017-01-05,34.970001,35.48,34.900002,35.220001,13069700,35.220001
2017-01-06,35.220001,35.220001,34.630001,34.860001,12119000,34.860001
2017-01-09,35.18,35.360001,34.810001,34.849998,23435900,34.849998
2017-01-10,35.369999,35.52,35.029999,35.25,15940300,35.25
2017-01-11,34.75,36.150002,34.560001,36.029999,21408900,36.029999
2017-01-12,36.349998,36.59,36.209999,36.419998,19756100,36.419998
2017-01-13,35.880001,36.099998,35.580002,35.939999,14420900,35.939999
2017-01-17,35.73,36.400002,35.540001,36.189999,21580800,36.189999
2017-01-18,35.990002,36.189999,35.639999,35.66,15447500,35.66
2017-01-19,36.130001,36.139999,35.759998,36.130001,23309000,36.130001
2017-01-20,36.369999,36.720001,36.099998,36.68,26690300,36.68
2017-01-23,36.919998,37.709999,36.759998,37.669998,28721800,37.669998
2017-01-24,37.299999,37.599998,37.18,37.389999,17832000,37.389999
2017-01-25,37.689999,37.990002,37.59,37.959999,12878500,37.959999
