Date,Open,High,Low,Close,Volume,Adj Close
2016-06-30,25.559999,25.559999,25.559999,25.559999,200,25.417492
2016-07-01,25.98,25.98,25.870001,25.870001,2800,25.725765
2016-07-05,25.790001,25.790001,25.790001,25.790001,900,25.646211
2016-07-06,25.530001,25.719999,25.530001,25.719999,800,25.5766
2016-07-07,25.719999,25.719999,25.719999,25.719999,0,25.5766
2016-07-08,25.98,26.219999,25.98,26.190001,6900,26.04398
2016-07-11,26.32,26.379999,26.32,26.360001,12100,26.213033
2016-07-12,26.472,26.549999,26.472,26.511999,1600,26.364184
2016-07-13,26.511999,26.511999,26.511999,26.511999,100,26.364184
2016-07-14,26.700001,26.700001,26.620001,26.620001,300,26.471583
2016-07-15,26.780001,26.92,26.75,26.75,500,26.600858
2016-07-18,28.07,28.07,26.65,26.719999,600,26.571024
2016-07-19,26.690001,26.690001,26.68,26.690001,800,26.541193
2016-07-20,26.790001,26.82,26.790001,26.82,400,26.670467
2016-07-21,26.66,26.66,26.66,26.66,200,26.511359
2016-07-22,26.799999,26.799999,26.799999,26.799999,100,26.650578
2016-07-25,26.73,26.780001,26.73,26.73,2900,26.580969
2016-07-26,26.76,26.780001,26.757,26.780001,9100,26.630691
2016-07-27,26.799999,26.799999,26.549999,26.780001,10300,26.630691
2016-07-28,26.75,26.83,26.75,26.83,10700,26.680411
2016-07-29,26.83,26.83,26.790001,26.790001,5700,26.640635
2016-08-01,26.790001,26.790001,26.777,26.777,400,26.627707
2016-08-02,26.610001,26.65,26.51,26.608999,2900,26.460643
2016-08-03,26.620001,26.629999,26.620001,26.629999,21900,26.481526
2016-08-04,26.662001,26.662001,26.662001,26.662001,1000,26.513349
2016-08-05,26.85,26.889999,26.83,26.870001,4600,26.720189
2016-08-08,26.9,26.9,26.870001,26.870001,400,26.720189
2016-08-09,26.91,26.950001,26.91,26.950001,300,26.799743
2016-08-10,26.950001,26.950001,26.950001,26.950001,0,26.799743
2016-08-11,26.950001,26.950001,26.940001,26.940001,300,26.789799
2016-08-12,26.940001,26.940001,26.940001,26.940001,0,26.789799
2016-08-15,27.004999,27.004999,27.004999,27.004999,100,26.854435
2016-08-16,27.004999,27.004999,27.004999,27.004999,0,26.854435
2016-08-17,27.004999,27.004999,27.004999,27.004999,0,26.854435
2016-08-18,26.93,26.950001,26.93,26.940001,2800,26.789799
2016-08-19,26.940001,26.940001,26.940001,26.940001,0,26.789799
2016-08-22,26.940001,26.940001,26.940001,26.940001,500,26.789799
2016-08-23,26.940001,26.940001,26.940001,26.940001,0,26.789799
2016-08-24,26.940001,26.940001,26.940001,26.940001,0,26.789799
2016-08-25,26.940001,26.940001,26.940001,26.940001,0,26.789799
2016-08-26,26.940001,26.940001,26.940001,26.940001,0,26.789799
2016-08-29,26.843,26.889999,26.843,26.889999,600,26.740076
2016-08-30,26.982,26.982,26.982,26.982,500,26.831564
2016-08-31,26.76,26.76,26.76,26.76,100,26.610802
2016-09-01,26.76,26.76,26.76,26.76,0,26.610802
2016-09-02,26.76,26.76,26.76,26.76,0,26.610802
2016-09-06,26.879999,26.879999,26.879999,26.879999,300,26.730132
2016-09-07,26.940001,26.940001,26.91,26.91,500,26.759965
2016-09-08,26.91,26.91,26.91,26.91,0,26.759965
2016-09-09,26.91,26.91,26.91,26.91,0,26.759965
2016-09-12,26.91,26.91,26.91,26.91,0,26.759965
2016-09-13,26.91,26.91,26.91,26.91,0,26.759965
2016-09-14,26.91,26.91,26.91,26.91,0,26.759965
2016-09-15,26.34,26.34,26.34,26.34,200,26.193144
2016-09-16,26.34,26.34,26.34,26.34,0,26.27294
2016-09-19,26.34,26.34,26.34,26.34,0,26.27294
2016-09-20,26.34,26.34,26.34,26.34,0,26.27294
2016-09-21,26.34,26.34,26.34,26.34,0,26.27294
2016-09-22,26.34,26.34,26.34,26.34,0,26.27294
2016-09-23,26.34,26.34,26.34,26.34,0,26.27294
2016-09-26,26.34,26.34,26.34,26.34,0,26.27294
2016-09-27,26.32,26.32,26.32,26.32,2200,26.25299
2016-09-28,26.58,26.58,26.565001,26.565001,500,26.497367
2016-09-29,26.43,26.530001,26.43,26.513,1100,26.4455
